"Date","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted","dn","mavg","up"
2022-05-11,265.679993,271.359985,259.299988,260.549988,48975900,258.018707,266.165979395362,279.420498116667,292.675016837972
2022-05-12,257.690002,259.880005,250.020004,255.350006,51033800,252.869278,261.255874804748,277.882998866667,294.510122928585
2022-05-13,257.350006,263.040009,255.350006,261.119995,34925100,258.583221,258.523423623146,276.750499166667,294.977574710188
2022-05-16,259.959991,265.820007,255.779999,261.5,32550900,258.959503,256.411545423244,275.780166333333,295.148787243423
2022-05-17,266.109985,268.329987,262.459991,266.820007,28828800,264.227875,255.403602472986,274.908999333333,294.414396193681
2022-05-18,263,263.600006,252.770004,254.080002,31356000,252.197647,253.22352797063,273.392666333333,293.561804696037
2022-05-19,253.899994,257.670013,251.880005,253.139999,32692300,251.264587,250.766804771173,271.868000216667,292.96919566216
2022-05-20,257.23999,258.540009,246.440002,252.559998,39199300,250.688904,248.08371893474,270.650166766667,293.216614598594
2022-05-23,255.490005,261.5,253.429993,260.649994,33175400,258.718964,246.774905411203,269.699833633333,292.624761855464
2022-05-24,257.890015,261.329987,253.5,259.619995,29043900,257.696594,245.553418861883,268.964333566667,292.375248271451
2022-05-25,258.140015,264.579987,257.130005,262.519989,28547900,260.575104,245.313112444069,267.81233315,290.311553855931
2022-05-26,262.269989,267.109985,261.429993,265.899994,25002100,263.930054,246.03242984036,266.6851659,287.33790195964
2022-05-27,268.480011,273.339996,267.559998,273.23999,26910800,271.215668,246.510724177782,266.189165733333,285.867607288884
2022-05-31,272.529999,274.769989,268.929993,271.869995,37827700,269.855865,247.155987678857,265.688165283333,284.22034288781
2022-06-01,275.200012,277.690002,270.040009,272.420013,25292200,270.401764,247.90141739217,265.256332383333,282.611247374497
2022-06-02,264.450012,274.649994,261.600006,274.579987,44008200,272.545746,249.682587304761,264.476998383333,279.271409461905
2022-06-03,270.309998,273.450012,268.410004,270.019989,28059000,268.019562,250.570420014126,264.040998333333,277.511576652541
2022-06-06,272.059998,274.179993,267.220001,268.75,22400300,266.758942,250.98159489868,263.789331566667,276.597068234653
2022-06-07,266.640015,273.130005,265.940002,272.5,22860700,270.481171,250.893173149696,263.977832033333,277.062490916971
2022-06-08,271.709991,273,269.609985,270.410004,17372300,268.406677,250.823720624348,264.056165066667,277.288609508986
2022-06-09,267.779999,272.709991,264.630005,264.790009,26439700,262.828308,250.928401724962,264.2381658,277.547929875038
2022-06-10,260.579987,260.579987,252.529999,252.990005,31422800,251.115723,250.981026410019,264.252332066667,277.523637723315
2022-06-13,245.110001,249.020004,241.529999,242.259995,46135800,240.465195,247.673256415589,263.473998533333,279.274740651078
2022-06-14,243.860001,245.740005,241.509995,244.490005,28651500,242.678696,244.671827572451,262.617998516667,280.564169460883
2022-06-15,248.309998,255.300003,246.419998,251.759995,33111700,249.894821,243.334095331388,261.8824987,280.430902068613
2022-06-16,245.979996,247.419998,243.020004,244.970001,33169200,243.155121,241.45836015606,261.29849855,281.13863694394
2022-06-17,244.699997,250.5,244.029999,247.649994,43084800,245.815262,240.417879339525,260.956664816667,281.495450293809
2022-06-21,250.259995,254.75,249.509995,253.740005,29928300,251.860168,240.438047488856,260.964331333334,281.490615177811
2022-06-22,251.889999,257.170013,250.369995,253.130005,25939900,251.254669,239.958482210001,260.715831766667,281.473181323333
2022-06-23,255.570007,259.369995,253.630005,258.859985,25861400,256.9422,239.890575649268,260.67266515,281.454754650732
